Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
2024-09-03,5.125,5.225,5.225,5.125
2024-09-04,5.05,5.05,5.1,5.025
2024-09-05,5.075,5.075,5.125,5.05
2024-09-06,5.05,5.05,5.125,5.05
2024-09-09,5.025,5.05,5.1,5.0
2024-09-10,5.025,5.075,5.1,5.0
2024-09-11,5.025,5.025,5.05,5.0
2024-09-12,5.025,5.025,5.075,5.025
2024-09-13,5.075,5.025,5.075,5.025
2024-09-17,5.075,5.075,5.1,5.025
2024-09-18,5.25,5.1,5.275,5.075
2024-09-19,5.275,5.275,5.275,5.2
2024-09-20,5.225,5.275,5.275,5.2
2024-09-23,5.225,5.25,5.275,5.225
2024-09-24,5.275,5.25,5.275,5.225
2024-09-25,5.225,5.3,5.3,5.15
2024-09-26,5.25,5.25,5.275,5.175
2024-09-27,5.1,5.275,5.275,5.05
2024-09-30,5.05,5.1,5.1,5.0
2024-10-01,5.175,5.1,5.175,5.075
2024-10-02,5.15,5.15,5.15,5.05
2024-10-03,5.25,5.175,5.25,5.1
2024-10-04,5.15,5.25,5.25,5.1
2024-10-07,5.1,5.15,5.175,5.075
2024-10-08,5.225,5.1,5.225,5.075
2024-10-09,5.075,5.225,5.225,5.075
2024-10-10,5.125,5.1,5.125,5.075
2024-10-11,5.075,5.125,5.15,5.075
2024-10-14,4.93,5.025,5.025,4.92
2024-10-15,4.93,4.93,4.97,4.9
2024-10-16,4.96,4.95,4.96,4.9
2024-10-17,4.95,4.95,4.97,4.93
2024-10-18,4.92,4.96,4.96,4.92
2024-10-21,5.1,4.95,5.1,4.93
2024-10-22,5.275,5.125,5.275,5.1
2024-10-23,5.3,5.275,5.3,5.175
2024-10-24,5.275,5.3,5.3,5.2
2024-10-25,5.225,5.275,5.275,5.2
2024-10-28,5.25,5.25,5.25,5.125
2024-10-29,5.125,5.25,5.25,5.125
2024-10-30,5.2,5.125,5.2,5.05
2024-10-31,5.1,5.3,5.3,5.1
2024-11-01,5.075,5.125,5.175,5.05
2024-11-04,5.125,5.075,5.125,4.98
2024-11-05,5.175,5.125,5.2,5.075
2024-11-06,5.05,5.175,5.175,5.025
2024-11-07,5.0,5.05,5.075,5.0
2024-11-08,4.96,5.05,5.075,4.95
2024-11-11,4.97,4.96,4.99,4.85
2024-11-12,4.97,5.0,5.0,4.93
2024-11-13,5.025,5.0,5.025,4.95
2024-11-14,4.95,5.025,5.025,4.93
2024-11-15,4.94,4.94,4.96,4.92
2024-11-18,4.93,4.95,4.97,4.91
2024-11-19,4.97,4.93,4.97,4.9
2024-11-20,5.0,4.97,5.025,4.95
2024-11-21,4.89,4.99,4.99,4.89
2024-11-22,4.91,4.9,4.96,4.86
2024-11-25,5.175,4.95,5.175,4.94
2024-11-26,5.15,5.15,5.2,5.1
2024-11-28,5.125,5.2,5.225,5.125
2024-11-29,5.1,5.125,5.125,5.025
2024-12-02,4.94,5.1,5.15,4.9
2024-12-03,5.125,4.98,5.125,4.97
2024-12-04,5.225,5.1,5.225,5.075
2024-12-05,5.2,5.225,5.225,5.125
2024-12-06,5.15,5.15,5.175,5.05
2024-12-09,5.225,5.15,5.225,5.1
2024-12-10,5.225,5.2,5.225,5.15
2024-12-11,5.25,5.175,5.25,5.175
2024-12-12,5.1,5.15,5.225,5.05
2024-12-13,5.125,5.1,5.15,5.05
2024-12-16,5.125,5.075,5.15,5.0
2024-12-17,4.98,5.1,5.15,4.95
2024-12-18,5.0,4.98,5.05,4.96
